# solving the differential eqn y'(t)=y-t^2+1 from t=0 to 2 with h=0.2
# Boundary condition: y(0)=0.5
# Showing the result and absolute error in tabular form...

t[i]	        ysol	        ytrue	        absolute error
0.000000	0.500000	0.500000	0.000000
0.200000	0.800000	0.829299	-0.029299
0.400000	1.152000	1.214088	-0.062088
0.600000	1.550400	1.648941	-0.098541
0.800000	1.988480	2.127229	-0.138749
1.000000	2.458176	2.640859	-0.182683
1.200000	2.949811	3.179942	-0.230131
1.400000	3.451773	3.732400	-0.280627
1.600000	3.950128	4.283484	-0.333356
1.800000	4.428154	4.815177	-0.387023
2.000000	4.865784	5.305473	-0.439689

